No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間
1,一般撮影室（北）,108,401,10,1,天井懸垂器の揺れ,天井のX線管球懸垂器がレールから外れかけ、大きく揺れている。,直下から退避,患者はいなかったため、自身の安全を確保した。,1,手で支える,重量（数百kg）に耐えきれず下敷き。【死亡】,0,ストレッチャーを入れる,動かした瞬間に落下し、腕を切断。,0,保留,対応を後回しにし、状況を見る。,1
1,一般撮影室（北）,108,401,10,2,暗闇での足元確認,非常灯のみの薄暗がり。床にグリッドが散乱している。,スマホライト点灯,ガラス片や機材を踏まずに移動できた。,2,急いで部屋を出る,転倒して膝を強打。動けなくなる。,5,壁伝いに歩く,落下しかけていた鉛プロテクターが頭上から直撃。,10,保留,対応を後回しにし、状況を見る。,1
1,一般撮影室（北）,108,401,10,3,隣室からの異音,壁の向こうから「バチバチ」とショートする音が聞こえる。,ブレーカー断,放射線科エリア全体の火災を未然に防いだ。,5,見に行く,漏電箇所に触れ感電。【重傷】,0,消防に通報,回線混雑で繋がらず、初期消火の機会を逃す。,10,保留,対応を後回しにし、状況を見る。,1
2,一般撮影室（中）,108,499,10,1,患者のパニック,撮影中の立位患者が腰を抜かして叫んでいる。,低い姿勢で誘導,落下物を避け、患者と共に安全地帯へ。,3,「落ち着いて」と叫ぶ,声が届かず、患者が走り出し転倒・負傷。,2,一人で逃げる,患者が見捨てられ、後に訴訟・懲戒問題へ。,0,保留,対応を後回しにし、状況を見る。,1
2,一般撮影室（中）,108,499,10,2,FPDの保全,高価なFPDが床に落ちている。余震で踏まれそうだ。,壁際に寄せる,最小限の動作で破損リスクを下げた。,1,抱えて持ち歩く,重くて避難の妨げになり、結局落とす。,5,元の場所に戻す,余震で再度落下し、液晶が粉砕。,2,保留,対応を後回しにし、状況を見る。,1
2,一般撮影室（中）,108,499,10,3,避難ルートの選択,廊下は散乱物が多い。操作室経由で逃げるか。,操作室経由,比較的物が少なく安全に脱出できた。,2,廊下へ直行,天井パネルが崩落しており通行不能。,5,窓から外を見る,余震で窓ガラスが割れ、顔面裂傷。,0,保留,対応を後回しにし、状況を見る。,1
3,一般撮影室（南）,110,575,10,1,高電圧ケーブル垂下,発生器から太いケーブルが外れ、ぶら下がっている。,触らず大きく迂回,感電リスクを回避し退室。,2,棒でのける,絶縁体でなかったため感電。【死亡】,0,下をくぐる,余震でケーブルが暴れ頭部直撃。,1,保留,対応を後回しにし、状況を見る。,1
3,一般撮影室（南）,110,575,10,2,ドア枠の歪み,揺れで引き戸の枠が歪み、扉が開かない。,蹴破る/破壊,緊急避難として正解。脱出成功。,5,内線電話をかける,繋がらずパニックになる。,3,潤滑油を探す,そんなものはない。時間を浪費。,10,保留,対応を後回しにし、状況を見る。,1
3,一般撮影室（南）,110,575,10,3,余震発生,避難直前、緊急地震速報が鳴り響く。,部屋中央でしゃがむ,落下物を回避し身を守った。,1,出口へ走る,揺れで転倒し強打。,1,机の下に隠れる,机自体が倒壊し挟まれるリスクあり。,2,保留,対応を後回しにし、状況を見る。,1
4,結石破砕室,100,644,10,1,水槽からの溢水,結石破砕装置の水槽が破損し、水が溢れている。,機器電源OFF・退避,感電リスクを回避し、安全圏へ。,2,タオルで拭く,水量が多すぎて無意味。感電の危険。,5,排水溝を探す,暗闇で滑って転倒し、頭部強打。,10,保留,対応を後回しにし、状況を見る。,1
